,date_id,day,time,temp,energy,day_time,year,month,dd,dw,dy,hh,holiday,op_mode,stagione
42512,20221107,07-11-2022,08:00:00,10.02,340.5,2022-11-07 08:00:00,2022,11,7,1,311,8,False,1,inv2223
42513,20221107,07-11-2022,09:00:00,14.57,394.0,2022-11-07 09:00:00,2022,11,7,1,311,9,False,1,inv2223
42515,20221107,07-11-2022,11:00:00,16.81,400.5,2022-11-07 11:00:00,2022,11,7,1,311,11,False,1,inv2223
42520,20221107,07-11-2022,16:00:00,14.16,482.0,2022-11-07 16:00:00,2022,11,7,1,311,16,False,1,inv2223
42536,20221108,08-11-2022,08:00:00,6.93,838.0,2022-11-08 08:00:00,2022,11,8,2,312,8,False,1,inv2223
42537,20221108,08-11-2022,09:00:00,13.86,691.5,2022-11-08 09:00:00,2022,11,8,2,312,9,False,1,inv2223
42538,20221108,08-11-2022,10:00:00,15.83,287.5,2022-11-08 10:00:00,2022,11,8,2,312,10,False,1,inv2223
42539,20221108,08-11-2022,11:00:00,16.47,230.0,2022-11-08 11:00:00,2022,11,8,2,312,11,False,1,inv2223
42540,20221108,08-11-2022,12:00:00,16.55,228.5,2022-11-08 12:00:00,2022,11,8,2,312,12,False,1,inv2223
42541,20221108,08-11-2022,13:00:00,16.27,233.5,2022-11-08 13:00:00,2022,11,8,2,312,13,False,1,inv2223
42542,20221108,08-11-2022,14:00:00,15.86,242.0,2022-11-08 14:00:00,2022,11,8,2,312,14,False,1,inv2223
42543,20221108,08-11-2022,15:00:00,14.59,519.5,2022-11-08 15:00:00,2022,11,8,2,312,15,False,1,inv2223
42544,20221108,08-11-2022,16:00:00,13.24,438.5,2022-11-08 16:00:00,2022,11,8,2,312,16,False,1,inv2223
42545,20221108,08-11-2022,17:00:00,11.54,296.0,2022-11-08 17:00:00,2022,11,8,2,312,17,False,1,inv2223
42546,20221108,08-11-2022,18:00:00,10.23,191.0,2022-11-08 18:00:00,2022,11,8,2,312,18,False,1,inv2223
42559,20221109,09-11-2022,07:00:00,14.14,571.5,2022-11-09 07:00:00,2022,11,9,3,313,7,False,1,inv2223
42560,20221109,09-11-2022,08:00:00,14.43,498.0,2022-11-09 08:00:00,2022,11,9,3,313,8,False,1,inv2223
42561,20221109,09-11-2022,09:00:00,14.85,446.5,2022-11-09 09:00:00,2022,11,9,3,313,9,False,1,inv2223
42562,20221109,09-11-2022,10:00:00,14.67,259.5,2022-11-09 10:00:00,2022,11,9,3,313,10,False,1,inv2223
42563,20221109,09-11-2022,11:00:00,14.12,215.0,2022-11-09 11:00:00,2022,11,9,3,313,11,False,1,inv2223
42564,20221109,09-11-2022,12:00:00,14.12,216.5,2022-11-09 12:00:00,2022,11,9,3,313,12,False,1,inv2223
42565,20221109,09-11-2022,13:00:00,14.4,211.5,2022-11-09 13:00:00,2022,11,9,3,313,13,False,1,inv2223
42566,20221109,09-11-2022,14:00:00,14.27,278.0,2022-11-09 14:00:00,2022,11,9,3,313,14,False,1,inv2223
42567,20221109,09-11-2022,15:00:00,14.16,540.5,2022-11-09 15:00:00,2022,11,9,3,313,15,False,1,inv2223
42568,20221109,09-11-2022,16:00:00,13.58,422.5,2022-11-09 16:00:00,2022,11,9,3,313,16,False,1,inv2223
42569,20221109,09-11-2022,17:00:00,13.18,254.0,2022-11-09 17:00:00,2022,11,9,3,313,17,False,1,inv2223
42570,20221109,09-11-2022,18:00:00,12.73,194.0,2022-11-09 18:00:00,2022,11,9,3,313,18,False,1,inv2223
42583,20221110,10-11-2022,07:00:00,13.76,559.5,2022-11-10 07:00:00,2022,11,10,4,314,7,False,1,inv2223
42584,20221110,10-11-2022,08:00:00,14.1,452.0,2022-11-10 08:00:00,2022,11,10,4,314,8,False,1,inv2223
42585,20221110,10-11-2022,09:00:00,13.52,418.5,2022-11-10 09:00:00,2022,11,10,4,314,9,False,1,inv2223
42586,20221110,10-11-2022,10:00:00,13.5,263.5,2022-11-10 10:00:00,2022,11,10,4,314,10,False,1,inv2223
42587,20221110,10-11-2022,11:00:00,13.05,249.5,2022-11-10 11:00:00,2022,11,10,4,314,11,False,1,inv2223
42588,20221110,10-11-2022,12:00:00,12.07,264.0,2022-11-10 12:00:00,2022,11,10,4,314,12,False,1,inv2223
42589,20221110,10-11-2022,13:00:00,12.17,246.5,2022-11-10 13:00:00,2022,11,10,4,314,13,False,1,inv2223
42590,20221110,10-11-2022,14:00:00,12.48,242.0,2022-11-10 14:00:00,2022,11,10,4,314,14,False,1,inv2223
42591,20221110,10-11-2022,15:00:00,13.07,550.0,2022-11-10 15:00:00,2022,11,10,4,314,15,False,1,inv2223
