,day,time,temp,energy,day_time,year,month,dd,dw,dy,hh,stagione,ferie,lavorativo,dotcolor,diurno,lav,reg
42512,07-11-2022,08:00:00,10.02,340.5,2022-11-07 08:00:00,2022,11,7,1,311,8,inv2223,False,True,blue,True,True,1
42513,07-11-2022,09:00:00,14.57,394.0,2022-11-07 09:00:00,2022,11,7,1,311,9,inv2223,False,True,blue,True,True,1
42520,07-11-2022,16:00:00,14.16,482.0,2022-11-07 16:00:00,2022,11,7,1,311,16,inv2223,False,True,blue,True,True,1
42536,08-11-2022,08:00:00,6.93,838.0,2022-11-08 08:00:00,2022,11,8,2,312,8,inv2223,False,True,blue,True,True,1
42538,08-11-2022,10:00:00,15.83,287.5,2022-11-08 10:00:00,2022,11,8,2,312,10,inv2223,False,True,blue,True,True,1
42539,08-11-2022,11:00:00,16.47,230.0,2022-11-08 11:00:00,2022,11,8,2,312,11,inv2223,False,True,blue,True,True,1
42540,08-11-2022,12:00:00,16.55,228.5,2022-11-08 12:00:00,2022,11,8,2,312,12,inv2223,False,True,blue,True,True,1
42541,08-11-2022,13:00:00,16.27,233.5,2022-11-08 13:00:00,2022,11,8,2,312,13,inv2223,False,True,blue,True,True,1
42542,08-11-2022,14:00:00,15.86,242.0,2022-11-08 14:00:00,2022,11,8,2,312,14,inv2223,False,True,blue,True,True,1
42543,08-11-2022,15:00:00,14.59,519.5,2022-11-08 15:00:00,2022,11,8,2,312,15,inv2223,False,True,blue,True,True,1
42544,08-11-2022,16:00:00,13.24,438.5,2022-11-08 16:00:00,2022,11,8,2,312,16,inv2223,False,True,blue,True,True,1
42545,08-11-2022,17:00:00,11.54,296.0,2022-11-08 17:00:00,2022,11,8,2,312,17,inv2223,False,True,blue,True,True,1
42546,08-11-2022,18:00:00,10.23,191.0,2022-11-08 18:00:00,2022,11,8,2,312,18,inv2223,False,True,blue,True,True,1
42559,09-11-2022,07:00:00,14.14,571.5,2022-11-09 07:00:00,2022,11,9,3,313,7,inv2223,False,True,blue,True,True,1
42560,09-11-2022,08:00:00,14.43,498.0,2022-11-09 08:00:00,2022,11,9,3,313,8,inv2223,False,True,blue,True,True,1
42561,09-11-2022,09:00:00,14.85,446.5,2022-11-09 09:00:00,2022,11,9,3,313,9,inv2223,False,True,blue,True,True,1
42562,09-11-2022,10:00:00,14.67,259.5,2022-11-09 10:00:00,2022,11,9,3,313,10,inv2223,False,True,blue,True,True,1
42563,09-11-2022,11:00:00,14.12,215.0,2022-11-09 11:00:00,2022,11,9,3,313,11,inv2223,False,True,blue,True,True,1
42564,09-11-2022,12:00:00,14.12,216.5,2022-11-09 12:00:00,2022,11,9,3,313,12,inv2223,False,True,blue,True,True,1
42565,09-11-2022,13:00:00,14.4,211.5,2022-11-09 13:00:00,2022,11,9,3,313,13,inv2223,False,True,blue,True,True,1
42566,09-11-2022,14:00:00,14.27,278.0,2022-11-09 14:00:00,2022,11,9,3,313,14,inv2223,False,True,blue,True,True,1
42567,09-11-2022,15:00:00,14.16,540.5,2022-11-09 15:00:00,2022,11,9,3,313,15,inv2223,False,True,blue,True,True,1
42568,09-11-2022,16:00:00,13.58,422.5,2022-11-09 16:00:00,2022,11,9,3,313,16,inv2223,False,True,blue,True,True,1
42569,09-11-2022,17:00:00,13.18,254.0,2022-11-09 17:00:00,2022,11,9,3,313,17,inv2223,False,True,blue,True,True,1
42570,09-11-2022,18:00:00,12.73,194.0,2022-11-09 18:00:00,2022,11,9,3,313,18,inv2223,False,True,blue,True,True,1
42583,10-11-2022,07:00:00,13.76,559.5,2022-11-10 07:00:00,2022,11,10,4,314,7,inv2223,False,True,blue,True,True,1
42584,10-11-2022,08:00:00,14.1,452.0,2022-11-10 08:00:00,2022,11,10,4,314,8,inv2223,False,True,blue,True,True,1
42585,10-11-2022,09:00:00,13.52,418.5,2022-11-10 09:00:00,2022,11,10,4,314,9,inv2223,False,True,blue,True,True,1
42586,10-11-2022,10:00:00,13.5,263.5,2022-11-10 10:00:00,2022,11,10,4,314,10,inv2223,False,True,blue,True,True,1
42587,10-11-2022,11:00:00,13.05,249.5,2022-11-10 11:00:00,2022,11,10,4,314,11,inv2223,False,True,blue,True,True,1
42588,10-11-2022,12:00:00,12.07,264.0,2022-11-10 12:00:00,2022,11,10,4,314,12,inv2223,False,True,blue,True,True,1
42589,10-11-2022,13:00:00,12.17,246.5,2022-11-10 13:00:00,2022,11,10,4,314,13,inv2223,False,True,blue,True,True,1
42590,10-11-2022,14:00:00,12.48,242.0,2022-11-10 14:00:00,2022,11,10,4,314,14,inv2223,False,True,blue,True,True,1
42591,10-11-2022,15:00:00,13.07,550.0,2022-11-10 15:00:00,2022,11,10,4,314,15,inv2223,False,True,blue,True,True,1
42592,10-11-2022,16:00:00,13.19,459.5,2022-11-10 16:00:00,2022,11,10,4,314,16,inv2223,False,True,blue,True,True,1
42593,10-11-2022,17:00:00,13.1,260.5,2022-11-10 17:00:00,2022,11,10,4,314,17,inv2223,False,True,blue,True,True,1
42594,10-11-2022,18:00:00,12.51,208.0,2022-11-10 18:00:00,2022,11,10,4,314,18,inv2223,False,True,blue,True,True,1
42607,11-11-2022,07:00:00,9.23,562.0,2022-11-11 07:00:00,2022,11,11,5,315,7,inv2223,False,True,blue,True,True,1
