,inv1819,inv1920,inv2021,inv2122,inv2223,inv2324,week
0,15.26,9.98,6.94,6.11,13.52,,1
1,15.64,10.92,6.63,6.64,11.12,,1
2,14.69,9.93,8.14,6.82,10.3,,1
3,13.87,9.21,6.74,6.47,9.29,,1
4,14.45,10.09,4.63,6.4,8.86,,1
5,15.02,10.8,3.24,5.99,9.14,,1
6,15.67,11.45,2.31,6.34,8.91,,1
7,15.83,12.71,2.22,6.54,9.65,,1
8,15.86,14.33,5.1,7.91,11.73,,1
9,15.91,14.98,11.48,9.82,14.4,,1
10,16.3,16.17,14.56,12.08,18.91,,1
11,17.89,15.85,15.86,13.93,20.14,,1
12,18.14,16.26,15.24,15.09,20.7,,1
13,18.75,16.74,15.04,15.75,21.68,,1
14,18.62,18.64,14.55,16.32,21.1,,1
15,18.87,20.13,13.77,15.89,20.92,,1
16,18.04,19.78,13.38,15.22,20.07,,1
17,17.04,18.37,12.8,13.59,18.09,,1
18,15.8,16.62,11.51,11.51,15.63,,1
19,15.67,16.25,10.93,10.15,13.4,,1
20,15.63,16.34,11.1,9.59,11.89,,1
21,14.69,16.6,10.82,9.46,10.89,,1
22,14.13,17.09,9.88,9.13,10.15,,1
23,14.05,16.88,10.02,8.66,9.71,,1
24,13.58,16.1,10.68,8.66,9.28,,1
25,12.92,16.16,10.79,8.55,8.7,,1
26,12.47,16.21,10.5,8.44,8.08,,1
27,13.25,15.66,9.97,8.45,7.7,,1
28,13.33,14.93,9.79,8.48,8.06,,1
29,12.85,14.85,10.61,7.79,9.09,,1
30,11.83,14.24,10.29,7.94,9.37,,1
31,11.59,14.0,10.48,9.17,8.79,,1
32,13.14,14.35,9.7,10.63,10.28,,1
33,15.86,16.48,9.51,12.39,13.93,,1
34,18.21,18.66,8.56,14.36,18.8,,1
35,21.54,20.17,8.26,15.47,21.04,,1
36,22.25,22.39,8.14,17.17,21.61,,1
37,22.88,23.29,8.67,17.92,22.17,,1
38,21.69,21.75,8.5,18.0,22.51,,1
39,20.91,21.03,8.41,17.84,21.76,,1
40,20.23,19.14,8.69,17.19,20.53,,1
41,18.66,17.34,9.37,15.81,19.06,,1
42,17.13,14.8,8.68,14.09,15.46,,1
43,16.05,12.25,8.41,13.27,13.16,,1
44,15.23,10.97,8.52,11.92,12.01,,1
45,14.99,10.49,8.1,11.21,11.1,,1
46,14.88,9.71,7.91,11.13,10.54,,1
47,13.92,8.98,7.59,11.41,10.0,,1
